Constituency,Const. No.,State,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
Pathanamthitta,17,Kerala,ANTO ANTONY,Indian National Congress,DR.T.M.THOMAS ISSAC,Communist Party of India (Marxist),66119,Result Declared
Patiala,13,Punjab,DR DHARAMVIRA GANDHI,Indian National Congress,DR BALBIR SINGH,Aam Aadmi Party,14831,Result Declared
Patliputra,31,Bihar,MISHA BHARTI,Rashtriya Janata Dal,RAM KRIPAL YADAV,Bharatiya Janata Party,85174,Result Declared
Patna Sahib,30,Bihar,RAVI SHANKAR PRASAD,Bharatiya Janata Party,ANSHUL AVIJIT,Indian National Congress,153846,Result Declared
Peddapalle,2,Telangana,VAMSI KRISHNA GADDAM,Indian National Congress,SRINIVAS GOMASE,Bharatiya Janata Party,131364,Result Declared
Phulpur,51,Uttar Pradesh,PRAVEEN PATEL,Bharatiya Janata Party,AMAR NATH SINGH MAURYA,Samajwadi Party,4332,Result Declared
Pilibhit,26,Uttar Pradesh,JITIN PRASADA,Bharatiya Janata Party,BHAGWAT SARAN GANGWAR,Samajwadi Party,164935,Result Declared
Ponnani,7,Kerala,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,K.S HAMZA,Communist Party of India (Marxist),235760,Result Declared
Porbandar,11,Gujarat,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,LALIT VASOYA,Indian National Congress,383360,Result Declared
Pratapgarh,39,Uttar Pradesh,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,SANGAM LAL GUPTA,Bharatiya Janata Party,66206,Result Declared
Pune,34,Maharashtra,MURLIDHAR MOHOL,Bharatiya Janata Party,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,123038,Result Declared
Puri,17,Odisha,SAMBIT PATRA,Bharatiya Janata Party,ARUP MOHAN PATNAIK,Biju Janata Dal,104709,Result Declared
Purnia,12,Bihar,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,SANTOSH KUMAR,Janata Dal (United),23847,Result Declared
Purulia,35,West Bengal,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,SHANTIRAM MAHATO,All India Trinamool Congress,17079,Result Declared
Purvi Champaran,3,Bihar,RADHA MOHAN SINGH,Bharatiya Janata Party,DR RAJESH KUMAR,Vikassheel Insaan Party,88287,Result Declared
RAIGARH,2,Chhattisgarh,RADHESHYAM RATHIYA,Bharatiya Janata Party,DR. MENKA DEVI SINGH,Indian National Congress,240391,Result Declared
RAIPUR,8,Chhattisgarh,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,VIKAS UPADHYAY,Indian National Congress,575285,Result Declared
RAJGARH,20,Madhya Pradesh,RODMAL NAGAR,Bharatiya Janata Party,DIGVIJAYA SINGH,Indian National Congress,146089,Result Declared
RAJNANDGAON,6,Chhattisgarh,SANTOSH PANDEY,Bharatiya Janata Party,BHUPESH BAGHEL,Indian National Congress,44411,Result Declared
RAJSAMAND,22,Rajasthan,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,DR. DAMODAR GURJAR,Indian National Congress,392223,Result Declared
RAMANATHAPURAM,35,Tamil Nadu,NAVASKANI K,Indian Union Muslim League,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,166782,Result Declared
RATLAM,24,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,KANTILAL BHURIA,Indian National Congress,207232,Result Declared
REWA,10,Madhya Pradesh,JANARDAN MISHRA,Bharatiya Janata Party,NEELAM ABHAY MISHRA,Indian National Congress,193374,Result Declared
ROHTAK,7,Haryana,DEEPENDER SINGH HOODA,Indian National Congress,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,345298,Result Declared
Rae Bareli,36,Uttar Pradesh,RAHUL GANDHI,Indian National Congress,DINESH PRATAP SINGH,Bharatiya Janata Party,390030,Result Declared
Raichur,6,Karnataka,G. KUMAR NAIK.,Indian National Congress,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,79781,Result Declared
Raigad,32,Maharashtra,TATKARE SUNIL DATTATREY,Nationalist Congress Party,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackeray),82784,Result Declared
Raiganj,5,West Bengal,KARTICK CHANDRA PAUL,Bharatiya Janata Party,KALYANI KRISHNA,All India Trinamool Congress,68197,Result Declared
Rajahmundry,8,Andhra Pradesh,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,239139,Result Declared
Rajampet,24,Andhra Pradesh,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,76071,Result Declared
Rajkot,10,Gujarat,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,DHANANI PARESH,Indian National Congress,484260,Result Declared
Rajmahal,1,Jharkhand,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,TALA MARANDI,Bharatiya Janata Party,178264,Result Declared
Rampur,7,Uttar Pradesh,MOHIBBULLAH,Samajwadi Party,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,87434,Result Declared
Ramtek,9,Maharashtra,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,RAJU DEONATH PARVE,Shiv Sena,76768,Result Declared
Ranaghat,13,West Bengal,JAGANNATH SARKAR,Bharatiya Janata Party,MUKUT MANI ADHIKARI,All India Trinamool Congress,186899,Result Declared
Ranchi,8,Jharkhand,SANJAY SETH,Bharatiya Janata Party,YASHASWINI SAHAY,Indian National Congress,120512,Result Declared
Ratnagiri- Sindhudurg,46,Maharashtra,NARAYAN TATU RANE,Bharatiya Janata Party,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackeray),47858,Result Declared
Raver,4,Maharashtra,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,SHRIRAM DAYARAM PATIL,Nationalist Congress Party - Sharadchandra Pawar,272183,Result Declared
Robertsganj,80,Uttar Pradesh,CHHOTELAL,Samajwadi Party,RINKI SINGH,Apna Dal (Soneylal),129234,Result Declared
SAGAR,5,Madhya Pradesh,DR. LATA WANKHEDE,Bharatiya Janata Party,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,471222,Result Declared
SALEM,15,Tamil Nadu,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,70357,Result Declared
SATNA,9,Madhya Pradesh,GANESH SINGH,Bharatiya Janata Party,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,84949,Result Declared
SHAHDOL,12,Madhya Pradesh,SMT. HIMADRI SINGH,Bharatiya Janata Party,PHUNDE LAL SINGH MARKO,Indian National Congress,397340,Result Declared
SHIMLA,4,Himachal Pradesh,Suresh Kumar Kashyap,Bharatiya Janata Party,Vinod Sultanpuri,Indian National Congress,91451,Result Declared
SIDHI,11,Madhya Pradesh,DR. RAJESH MISHRA,Bharatiya Janata Party,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,206416,Result Declared
SIKAR,5,Rajasthan,AMRARAM,Communist Party of India (Marxist),SUMEDHANAND SARASWATI,Bharatiya Janata Party,72896,Result Declared
SIRSA,3,Haryana,SELJA,Indian National Congress,ASHOK TANWAR,Bharatiya Janata Party,268497,Result Declared
SIVAGANGA,31,Tamil Nadu,KARTI P CHIDAMBARAM,Indian National Congress,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,205664,Result Declared
SONIPAT,6,Haryana,SATPAL BRAHAMCHARI,Indian National Congress,MOHAN LAL BADOLI,Bharatiya Janata Party,21816,Result Declared
SRINAGAR,2,Jammu and Kashmir,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,188416,Result Declared
SRIPERUMBUDUR,5,Tamil Nadu,T R BAALU,Dravida Munnetra Kazhagam,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,487029,Result Declared
SURGUJA,1,Chhattisgarh,CHINTAMANI MAHARAJ,Bharatiya Janata Party,SHASHI SINGH KORAM,Indian National Congress,64822,Result Declared
Sabarkantha,5,Gujarat,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,155682,Result Declared
Saharanpur,1,Uttar Pradesh,IMRAN MASOOD,Indian National Congress,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542,Result Declared
Salempur,71,Uttar Pradesh,RAMASHANKAR RAJBHAR,Samajwadi Party,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573,Result Declared
Samastipur,23,Bihar,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),SUNNY HAZARI,Indian National Congress,187251,Result Declared
Sambalpur,3,Odisha,DHARMENDRA PRADHAN,Bharatiya Janata Party,PRANAB PRAKASH DAS,Biju Janata Dal,119836,Result Declared
Sambhal,8,Uttar Pradesh,ZIA UR REHMAN,Samajwadi Party,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494,Result Declared
Sangli,44,Maharashtra,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,SANJAY (KAKA) PATIL,Bharatiya Janata Party,100053,Result Declared
Sangrur,12,Punjab,GURMEET SINGH MEET HAYER,Aam Aadmi Party,SUKHPAL SINGH KHAIRA,Indian National Congress,172560,Result Declared
Sant Kabir Nagar,62,Uttar Pradesh,LAXMIKANT PAPPU NISHAD,Samajwadi Party,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170,Result Declared
Saran,20,Bihar,RAJIV PRATAP RUDY,Bharatiya Janata Party,ROHINI ACHARYA,Rashtriya Janata Dal,13661,Result Declared
Sasaram,34,Bihar,MANOJ KUMAR,Indian National Congress,SHIVESH KUMAR,Bharatiya Janata Party,19157,Result Declared
Satara,45,Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party - Sharadchandra Pawar,32771,Result Declared
Secunderabad,8,Telangana,G. KISHAN REDDY,Bharatiya Janata Party,DANAM NAGENDER,Indian National Congress,49944,Result Declared
Shahjahanpur,27,Uttar Pradesh,ARUN KUMAR SAGAR,Bharatiya Janata Party,JYOTSNA GOND,Samajwadi Party,55379,Result Declared
Sheohar,4,Bihar,LOVELY ANAND,Janata Dal (United),RITU JAISWAL,Rashtriya Janata Dal,29143,Result Declared
Shillong,1,Meghalaya,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,VINCENT H. PALA,Indian National Congress,371910,Result Declared
Shimoga,14,Karnataka,B.Y.RAGHAVENDRA,Bharatiya Janata Party,GEETHA SHIVARAJKUMAR,Indian National Congress,243715,Result Declared
Shirdi,38,Maharashtra,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackeray),LOKHANDE SADASHIV KISAN,Shiv Sena,50529,Result Declared
Shirur,36,Maharashtra,DR. AMOL RAMSING KOLHE,Nationalist Congress Party - Sharadchandra Pawar,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,140951,Result Declared
Shrawasti,58,Uttar Pradesh,RAM SHIROMANI VERMA,Samajwadi Party,SAKET MISRA,Bharatiya Janata Party,76673,Result Declared
Sikkim,1,Sikkim,INDRA HANG SUBBA,Sikkim Krantikari Morcha,BHARAT BASNETT,Citizen Action Party-Sikkim,80830,Result Declared
Silchar,8,Assam,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,SURYA KANTA SARKAR,Indian National Congress,264311,Result Declared
Singhbhum,10,Jharkhand,JOBA MAJHI,Jharkhand Mukti Morcha,GEETA KORA,Bharatiya Janata Party,168402,Result Declared
Sitamarhi,5,Bihar,DEVESH CHANDRA THAKUR,Janata Dal (United),ARJUN RAY,Rashtriya Janata Dal,51356,Result Declared
Sitapur,30,Uttar Pradesh,RAKESH RATHOR,Indian National Congress,RAJESH VERMA,Bharatiya Janata Party,89641,Result Declared
Siwan,18,Bihar,VIJAYLAKSHMI DEVI,Janata Dal (United),HENA SHAHAB,Independent,92857,Result Declared
Solapur,42,Maharashtra,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,RAM VITTHAL SATPUTE,Bharatiya Janata Party,74197,Result Declared
Sonitpur,11,Assam,RANJIT DUTTA,Bharatiya Janata Party,PREMLAL GANJU,Indian National Congress,361408,Result Declared
South Delhi,7,Delhi,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,SAHI RAM,Aam Aadmi Party,124333,Result Declared
South Goa,2,Goa,CAPTAIN VIRIATO FERNANDES,Indian National Congress,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,13535,Result Declared
Srerampur,27,West Bengal,KALYAN BANERJEE,All India Trinamool Congress,KABIR SHANKAR BOSE,Bharatiya Janata Party,174830,Result Declared
Srikakulam,2,Andhra Pradesh,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,327901,Result Declared
Sultanpur,38,Uttar Pradesh,RAMBHUAL NISHAD,Samajwadi Party,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174,Result Declared
Sundargarh,2,Odisha,JUAL ORAM,Bharatiya Janata Party,DILIP KUMAR TIRKEY,Biju Janata Dal,138808,Result Declared
Supaul,8,Bihar,DILESHWAR KAMAIT,Janata Dal (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803,Result Declared
Surat,24,Gujarat,MUKESHKUMAR CHANDRAKAANT DALAL,Bharatiya Janata Party,xxxxxx,xxxxxx,0,Uncontested
Surendranagar,9,Gujarat,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,261617,Result Declared
TENKASI,37,Tamil Nadu,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,196199,Result Declared
THANJAVUR,30,Tamil Nadu,MURASOLI S,Dravida Munnetra Kazhagam,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,319583,Result Declared
THENI,33,Tamil Nadu,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,278825,Result Declared
THOOTHUKKUDI,36,Tamil Nadu,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,392738,Result Declared
TIKAMGARH,6,Madhya Pradesh,DR. VIRENDRA KUMAR,Bharatiya Janata Party,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,403312,Result Declared
TIRUCHIRAPPALLI,24,Tamil Nadu,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,313094,Result Declared
TIRUNELVELI,38,Tamil Nadu,ROBERT BRUCE C,Indian National Congress,NAINAR NAGENTHRAN,Bharatiya Janata Party,165620,Result Declared
TIRUPPUR,18,Tamil Nadu,"SUBBARAYAN, K.",Communist Party of India,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,125928,Result Declared
TIRUVALLUR,1,Tamil Nadu,Sasikanth Senthil,Indian National Congress,"Balaganapathy, V. Pon",Bharatiya Janata Party,572155,Result Declared
TIRUVANNAMALAI,11,Tamil Nadu,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,233931,Result Declared
TONK-SAWAI MADHOPUR,12,Rajasthan,HARISH CHANDRA MEENA,Indian National Congress,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,64949,Result Declared
Tamluk,30,West Bengal,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,77733,Result Declared
Tehri Garhwal,1,Uttarakhand,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,JOT SINGH GUNSOLA,Indian National Congress,272493,Result Declared
Thane,25,Maharashtra,NARESH GANPAT MHASKE,Shiv Sena,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackeray),217011,Result Declared
Thirupathi(SC),23,Andhra Pradesh,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,14569,Result Declared
Thiruvananthapuram,20,Kerala,SHASHI THAROOR,Indian National Congress,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,16077,Result Declared
Thrissur,10,Kerala,SURESH GOPI,Bharatiya Janata Party,ADV V S SUNILKUMAR,Communist Party of India,74686,Result Declared
Tripura East,2,Tripura,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,RAJENDRA REANG,Communist Party of India (Marxist),486819,Result Declared
Tripura West,1,Tripura,BIPLAB KUMAR DEB,Bharatiya Janata Party,ASISH KUMAR SAHA,Indian National Congress,611578,Result Declared
Tumkur,19,Karnataka,V. SOMANNA,Bharatiya Janata Party,S.P. MUDDAHANUMEGOWDA,Indian National Congress,175594,Result Declared
Tura,2,Meghalaya,SALENG A SANGMA,Indian National Congress,AGATHA K SANGMA,National People's Party,155241,Result Declared
UDAIPUR,19,Rajasthan,MANNA LAL RAWAT,Bharatiya Janata Party,TARACHAND MEENA,Indian National Congress,261608,Result Declared
UDHAMPUR,4,Jammu and Kashmir,DR JITENDRA SINGH,Bharatiya Janata Party,CH LAL SINGH,Indian National Congress,124373,Result Declared
UJJAIN,22,Madhya Pradesh,ANIL FIROJIYA,Bharatiya Janata Party,MAHESH PARMAR,Indian National Congress,375860,Result Declared
Udupi Chikmagalur,15,Karnataka,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,K. JAYAPRAKASH HEGDE,Indian National Congress,259175,Result Declared
Ujiarpur,22,Bihar,NITYANAND RAI,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60102,Result Declared
Uluberia,26,West Bengal,SAJDA AHMED,All India Trinamool Congress,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,218673,Result Declared
Unnao,33,Uttar Pradesh,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,ANNU TANDON,Samajwadi Party,35818,Result Declared
Uttara Kannada,12,Karnataka,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,DR. ANJALI NIMBALKAR,Indian National Congress,337428,Result Declared
VELLORE,8,Tamil Nadu,DM KATHIR ANAND,Dravida Munnetra Kazhagam,AC SHANMUGAM,Bharatiya Janata Party,215702,Result Declared
VIDISHA,18,Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,PRATAPBHANU SHARMA,Indian National Congress,821408,Result Declared
VILUPPURAM,13,Tamil Nadu,RAVIKUMAR. D,Viduthalai Chiruthaigal Katch,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,70703,Result Declared
VIRUDHUNAGAR,34,Tamil Nadu,MANICKAM TAGORE B,Indian National Congress,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,4379,Result Declared
Vadakara,3,Kerala,SHAFI PARAMBIL,Indian National Congress,K K SHAILAJA TEACHER,Communist Party of India (Marxist),114506,Result Declared
Vadodara,20,Gujarat,DR. HEMANG JOSHI,Bharatiya Janata Party,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,582126,Result Declared
Vaishali,16,Bihar,VEENA DEVI,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634,Result Declared
Valmiki Nagar,1,Bihar,SUNIL KUMAR,Janata Dal (United),DEEPAK YADAV,Rashtriya Janata Dal,98675,Result Declared
Valsad,26,Gujarat,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,210704,Result Declared
Varanasi,77,Uttar Pradesh,NARENDRA MODI,Bharatiya Janata Party,AJAY RAI,Indian National Congress,152513,Result Declared
Vijayawada,12,Andhra Pradesh,KESINENI SIVANATH (CHINNI),Telugu Desam,KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,282085,Result Declared
Visakhapatnam,4,Andhra Pradesh,SRIBHARAT MATHUKUMILI,Telugu Desam,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,504247,Result Declared
Vizianagaram,3,Andhra Pradesh,APPALANAIDU KALISETTI,Telugu Desam,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,249351,Result Declared
Warangal,15,Telangana,KADIYAM KAVYA,Indian National Congress,AROORI RAMESH,Bharatiya Janata Party,220339,Result Declared
Wardha,8,Maharashtra,AMAR SHARADRAO KALE,Nationalist Congress Party - Sharadchandra Pawar,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,81648,Result Declared
Wayanad,4,Kerala,RAHUL GANDHI,Indian National Congress,ANNIE RAJA,Communist Party of India,364422,Result Declared
West Delhi,6,Delhi,KAMALJEET SEHRAWAT,Bharatiya Janata Party,MAHABAL MISHRA,Aam Aadmi Party,199013,Result Declared
Yavatmal- Washim,14,Maharashtra,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackeray),RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,94473,Result Declared
Zahirabad,5,Telangana,SURESH KUMAR SHETKAR,Indian National Congress,B. B. PATIL,Bharatiya Janata Party,46188,Result Declared
